CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,NARIÑO,52215,CÓRDOBA,,,1.00,,,,,,,,,,,,,,,,,
52,NARIÑO,52227,CUMBAL,,,,,,,,2.00,,,,,,,,,,,,
52,NARIÑO,52233,CUMBITARA,,11.11,3.00,140.00,301.00,127.20,329.00,483.00,452.00,250.00,451.00,221.00,194.00,97.00,115.00,107.00,209.49,527.30,666.80,778.23
52,NARIÑO,52250,EL CHARCO,,665.51,984.49,798.00,699.00,649.00,741.00,741.00,"1,728.00","2,202.00","1,130.00",748.00,"1,080.00",702.00,"1,020.00","1,263.00","1,417.79","2,819.91","4,630.67","5,147.73"
52,NARIÑO,52254,EL PEÑOL,,,,,,,,,91.00,,19.00,86.00,,,1.00,23.00,34.90,51.17,97.31,55.80
52,NARIÑO,52256,EL ROSARIO,,56.79,28.23,102.00,230.00,221.00,508.00,372.00,434.00,273.00,290.00,253.00,203.00,169.00,127.00,133.00,244.55,573.94,765.36,842.49
52,NARIÑO,52260,EL TAMBO,,,,,,,7.00,,13.00,2.00,4.00,65.00,,,1.00,20.00,114.28,97.62,176.28,98.48
52,NARIÑO,52520,FRANCISCO PIZARRO (Salahonda),,13.92,37.42,45.00,16.00,107.00,153.00,192.00,501.00,407.00,189.00,189.00,207.00,59.00,61.00,66.00,91.80,157.38,258.10,304.75
52,NARIÑO,52356,IPIALES,"1,063.00","2,139.72","1,130.45",350.00,212.00,520.00,629.00,357.00,123.00,215.00,192.00,139.00,247.00,162.00,370.00,664.00,887.49,"1,132.06","1,273.67",928.49
52,NARIÑO,52381,LA FLORIDA,,,,,,,,,,,,,,,,3.00,30.06,51.43,83.95,39.87
52,NARIÑO,52385,LA LLANADA,,,,12.00,5.88,,1.00,4.00,,7.00,35.00,24.00,3.00,5.00,3.00,28.00,53.35,83.82,146.45,142.47
52,NARIÑO,52390,LA TOLA,,13.66,15.00,29.00,1.89,94.00,27.00,75.00,184.00,164.00,465.00,139.00,63.00,31.00,41.00,78.00,120.36,119.83,292.30,280.36
52,NARIÑO,52405,LEIVA,,,10.00,,41.00,40.00,58.00,,185.00,66.00,24.00,36.00,35.00,7.00,2.00,11.00,39.73,212.79,279.18,290.17
52,NARIÑO,52411,LINARES,,,,,,,43.00,,22.00,5.00,11.00,96.00,15.00,100.00,52.00,122.00,262.52,284.66,558.06,504.71
52,NARIÑO,52418,LOS ANDES (Sotomayor),,,,,,,,1.00,81.00,2.00,18.00,103.00,33.00,26.00,55.00,93.00,166.25,177.57,364.39,294.95
52,NARIÑO,52427,MAGÜÍ (Payán),,"1,708.84","1,693.61","2,398.00","3,532.00","2,175.00","2,139.00","1,002.00","2,593.00","2,240.00","1,323.00","1,207.00","1,563.00",494.00,478.00,586.00,861.96,"1,273.22","1,716.95","2,023.63"
52,NARIÑO,52435,MALLAMA (Piedrancha),,,,,0.07,,,,1.00,3.00,,,,,,,,,1.16,18.12
52,NARIÑO,52473,MOSQUERA,,,33.97,119.00,55.00,289.00,38.00,34.00,188.00,140.00,129.00,84.00,222.00,76.00,115.00,118.00,159.05,239.90,218.44,227.25
52,NARIÑO,52490,OLAYA HERRERA (Bocas de Satinga),,12.85,14.00,690.00,506.00,575.00,517.00,870.00,"1,972.00","1,286.00","1,452.00",612.00,"1,104.00",712.00,719.00,"1,445.00","2,173.01","2,572.72","3,355.53","3,504.58"
52,NARIÑO,52540,POLICARPA,339.00,12.60,15.00,29.00,215.00,236.00,212.00,545.00,773.00,221.00,389.00,235.00,202.00,165.00,301.00,199.00,326.09,733.27,960.41,936.40
52,NARIÑO,52573,PUERRES,,,1.00,1.00,,,,,,,,,,,,,,,,
52,NARIÑO,52612,RICAURTE,199.00,1.55,8.00,23.00,15.92,93.00,1.00,52.00,53.00,6.00,67.00,75.00,68.00,61.00,106.00,93.00,125.81,333.00,784.16,808.56
52,NARIÑO,52621,ROBERTO PAYÁN (San José),746.00,"1,008.37","1,048.21","2,361.00","3,509.00","2,409.00","2,265.00","1,011.00","2,896.00","2,336.00","1,539.00","1,585.00","2,058.00",460.00,858.00,"1,147.00","1,938.22","2,404.27","2,733.71","2,852.94"
52,NARIÑO,52678,SAMANIEGO,74.00,54.64,,5.00,8.94,,7.00,46.00,24.00,120.00,281.00,531.00,551.00,226.00,336.00,402.00,742.71,"1,394.60",869.33,856.85
52,NARIÑO,52693,SAN PABLO,,,,,3.91,,,1.00,,,,,,,,,,,,
52,NARIÑO,52683,SANDONÁ,,,,,,,15.00,11.00,,,,,,,,1.00,4.64,8.28,16.13,8.82
52,NARIÑO,52696,SANTA BÁRBARA (Iscuandé),,63.37,232.70,258.00,274.00,345.00,213.00,"1,303.00",700.00,706.00,802.00,615.00,587.00,294.00,279.00,368.00,283.68,785.28,530.17,560.34
52,NARIÑO,52699,SANTA CRUZ (Guachavés),170.00,,,,,,,,,14.00,4.00,11.00,10.00,3.00,14.00,19.00,33.02,61.79,803.08,809.55
52,NARIÑO,52835,TUMACO,776.00,"1,810.85","1,421.36","5,585.00","5,234.00","4,806.00","4,004.00","7,045.00","5,642.00","5,865.00","4,682.00","5,464.00","5,593.00","5,065.00","6,612.00","8,963.00","16,960.24","23,147.95","19,516.93","16,046.85"
54,NORTE DE SANTANDER,54003,ÁBREGO,10.90,26.45,,,,7.00,,,,,8.00,,15.00,20.00,13.00,17.00,22.12,24.03,65.45,73.29
54,NORTE DE SANTANDER,54109,BUCARASICA,,,,,20.00,,,3.00,2.00,3.00,,,6.00,5.00,3.00,3.00,,,3.82,10.64
54,NORTE DE SANTANDER,54128,CÁCHIRA,118.35,40.49,,,,,,,2.00,71.00,51.00,37.00,164.00,38.00,16.00,15.00,10.32,15.42,,
54,NORTE DE SANTANDER,54206,CONVENCIÓN,,136.51,13.41,33.00,39.00,181.00,15.00,15.00,41.00,54.00,225.00,68.00,180.00,356.00,999.00,553.00,855.88,890.62,"1,315.66","1,686.74"
54,NORTE DE SANTANDER,54001,CÚCUTA,,72.18,34.05,47.00,43.08,17.00,,,,1.00,38.00,10.00,32.00,38.00,61.00,33.00,55.96,280.97,323.11,316.89
54,NORTE DE SANTANDER,54245,EL CARMEN,52.02,73.70,4.39,24.00,102.00,212.00,,5.00,58.00,285.00,215.00,86.00,212.00,222.00,871.00,436.00,568.84,664.27,758.44,702.19
54,NORTE DE SANTANDER,54250,EL TARRA,"1,547.64",999.53,589.64,524.00,544.00,783.00,219.00,104.00,764.00,480.00,314.00,217.00,410.00,566.00,662.00,809.00,"2,074.54","3,682.70","4,300.60","4,916.63"
54,NORTE DE SANTANDER,54261,EL ZULIA,,31.82,13.37,36.00,26.11,22.00,,,,17.00,10.00,2.00,41.00,18.00,25.00,13.00,14.07,94.10,134.14,152.03
54,NORTE DE SANTANDER,54344,HACARÍ,417.86,149.24,21.71,9.00,14.74,74.00,30.00,15.00,,,,1.00,48.00,59.00,51.00,103.00,152.46,214.94,386.77,402.71
54,NORTE DE SANTANDER,54385,LA ESPERANZA,,146.52,,1.00,,,,,64.00,121.00,73.00,61.00,92.00,45.00,30.00,7.00,8.84,11.91,2.02,2.40
54,NORTE DE SANTANDER,54398,LA PLAYA,1.02,5.29,,,,,,,,,1.00,,26.00,4.00,,15.00,5.41,6.13,25.59,26.83
54,NORTE DE SANTANDER,54418,LOURDES,,,,,4.99,,,3.00,,,,,3.00,1.00,,,,,,
54,NORTE DE SANTANDER,54498,OCAÑA,,,,,,,,,,,,,,,1.00,4.00,6.97,9.04,10.62,42.12
54,NORTE DE SANTANDER,54670,SAN CALIXTO,235.82,149.83,19.56,9.00,13.26,136.00,25.00,13.00,34.00,62.00,42.00,,66.00,134.00,208.00,181.00,736.53,445.04,640.32,765.34
54,NORTE DE SANTANDER,54720,SARDINATA,974.69,832.67,586.05,793.00,864.00,158.00,47.00,26.00,93.00,463.00,245.00,193.00,"1,125.00",723.00,837.00,"1,078.00",865.94,"3,847.36","4,112.41","5,487.34"
54,NORTE DE SANTANDER,54800,TEORAMA,"1,115.88",340.10,679.19,217.00,393.00,200.00,84.00,42.00,186.00,296.00,509.00,271.00,298.00,628.00,663.00,680.00,"1,770.15","1,856.70","2,479.63","2,915.98"
54,NORTE DE SANTANDER,54810,TIBÚ,"10,564.73","3,187.70","9,677.49","6,340.00","2,398.00","1,266.00",424.00,262.00,702.00,"1,033.00",982.00,943.00,772.00,"1,658.00","1,905.00","2,997.00","4,379.08","12,787.38","13,685.69","16,096.74"
54,NORTE DE SANTANDER,54820,TOLEDO,,87.83,80.11,9.00,8.92,,,,,,,,,,,,,,,
86,PUTUMAYO,86001,MOCOA,274.43,510.56,112.00,122.00,91.00,27.04,69.00,145.00,142.00,97.00,37.00,15.00,48.00,107.00,49.00,105.00,106.88,111.20,76.23,70.14
86,PUTUMAYO,86320,ORITO,"9,734.96","10,854.98","7,629.19","1,442.00",352.00,516.00,523.00,"1,153.00","1,740.00","1,269.00",583.00,556.00,"1,086.00",428.00,784.00,"1,639.00","2,189.80","2,987.87","3,969.91","3,949.26"
86,PUTUMAYO,86568,PUERTO ASÍS,"11,340.48","13,018.72","8,679.57","2,898.00","1,527.00",543.00,"1,414.00","2,509.00","4,531.00","2,627.00","1,225.00","1,551.00","2,735.00","1,463.00","2,150.00","4,437.00","6,052.03","7,453.44","9,664.60","7,657.88"
86,PUTUMAYO,86569,PUERTO CAICEDO,"3,454.66","4,146.60","2,340.00",709.00,210.00,141.00,330.00,547.00,929.00,449.00,326.00,281.00,854.00,526.00,682.00,"1,046.00","1,481.21","1,782.14","2,998.37","2,905.02"
86,PUTUMAYO,86571,PUERTO GUZMÁN,"7,986.52","6,153.36","4,184.77","2,494.00","2,297.00","1,050.00","1,928.00","2,118.00","1,827.00","1,077.00",794.00,623.00,"1,413.00",656.00,624.00,915.00,"1,298.66","1,584.84","2,029.90","2,014.05"
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,"2,622.11","5,368.41","3,831.27","3,187.00","1,454.00","1,275.00","2,546.00","2,562.00","1,530.00","1,653.00","1,150.00","1,044.00","1,696.00","1,218.00","1,077.00","1,276.00","1,804.80","1,992.38","1,403.95","1,104.11"
86,PUTUMAYO,86757,SAN MIGUEL (La Dorada),"8,700.96","7,983.17","4,041.29",903.00,600.00,194.40,661.00,756.00,867.00,481.00,263.00,136.00,499.00,416.00,659.00,"1,094.00","2,338.17","3,128.40","3,553.66","3,329.07"
86,PUTUMAYO,86760,SANTIAGO,,,11.00,8.00,,,3.00,6.00,,8.00,3.00,3.00,,2.00,4.00,6.00,4.64,5.28,,
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ (La Hormiga),"14,031.40","16,523.88","9,269.25","1,553.00",850.00,471.00,"1,033.00","1,896.00","2,334.00","1,319.00",583.00,335.00,"1,010.00",644.00,"1,093.00","2,050.00","3,660.05","4,885.79","4,132.44","3,362.77"
86,PUTUMAYO,86885,VILLAGARZÓN,151.49,"1,462.69",952.06,410.00,178.00,169.00,456.00,561.00,913.00,678.00,353.00,241.00,611.00,688.00,545.00,"1,041.00","1,131.39","1,231.07","1,759.91","2,015.26"
68,SANTANDER,68020,ALBANIA,,,,5.00,,2.07,,,,,,,,,,,,,,
68,SANTANDER,68081,BARRANCABERMEJA,,196.58,,,,,,,,,,,,,,,,,,
68,SANTANDER,68092,BETULIA,,128.98,,,,62.00,54.00,10.00,35.00,,,,,,,,,,,
68,SANTANDER,68101,BOLÍVAR,,283.67,92.55,101.00,307.00,487.00,393.00,284.00,742.00,690.00,272.00,165.00,159.00,30.00,28.00,5.00,4.62,14.58,6.82,3.63
68,SANTANDER,68176,CHIMA,,18.82,,10.00,,,,,,,,,,,,,,,,
68,SANTANDER,68190,CIMITARRA,,193.24,26.89,120.00,96.00,157.00,84.00,66.00,100.00,330.00,159.00,106.00,45.00,9.00,2.00,,,,3.04,1.55
68,SANTANDER,68209,CONFINES,,26.65,,1.00,,,,,,,,,,,,,,,,
68,SANTANDER,68211,CONTRATACIÓN,,,,,,,,,,,5.00,,,,,,,,,
68,SANTANDER,68235,EL CARMEN,,339.74,,18.00,,,3.00,8.00,4.00,3.00,17.00,,,2.00,,,1.16,4.92,4.51,2.84
68,SANTANDER,68250,EL PEÑÓN,,38.90,3.00,,18.27,24.00,21.00,32.00,8.00,36.00,23.00,14.00,3.00,,,1.00,,,,2.24
68,SANTANDER,68255,EL PLAYÓN,,28.55,,,,,,,,10.00,14.00,12.00,60.00,2.00,5.00,5.00,2.56,,,
68,SANTANDER,68271,FLORIÁN,,5.03,,,8.92,7.00,,6.00,6.00,,,,,,,,,,,
68,SANTANDER,68307,GIRÓN,,72.63,,,,,,,,,,,,,,,,,,
68,SANTANDER,68322,GUAPOTÁ,,,,,,1.00,,,,,,,,,,,,,,
68,SANTANDER,68324,GUAVATÁ,,,,,,14.32,,,,,,,,,,,,,,
68,SANTANDER,68344,HATO,,24.37,,,,,,,,,,,,,,,,,,
68,SANTANDER,68377,LA BELLEZA,,65.75,22.06,25.00,25.56,96.00,73.00,96.00,53.00,94.00,72.00,31.00,77.00,7.00,3.00,1.00,,,,
68,SANTANDER,68397,LA PAZ,,,,,4.98,1.00,,,,,10.00,,,,,,,,,
68,SANTANDER,68385,LANDÁZURI,,155.42,12.65,43.00,0.91,23.18,77.00,107.00,63.00,126.00,75.00,78.00,34.00,14.00,1.00,1.00,,,,
68,SANTANDER,68522,PALMAR,,20.26,,,,,,,,,,,,,,,,,,
68,SANTANDER,68524,PALMAS DEL SOCORRO,,57.72,,1.00,,,,,,,,,,,,,,,,
68,SANTANDER,68573,PUERTO PARRA,,117.51,,19.00,2.79,5.00,28.00,16.00,44.00,41.00,21.00,27.00,16.00,5.00,,,,,,
68,SANTANDER,68615,RIONEGRO,,46.49,,1.00,,,,,,3.00,21.00,23.00,51.00,2.00,5.00,2.00,1.98,2.24,5.68,
68,SANTANDER,68655,SABANA DE TORRES,,95.25,,,,,,,8.00,,,,,,,,,,,
68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,,453.29,,,,18.81,27.00,4.00,23.00,,1.00,,,,,,,,,
68,SANTANDER,68720,SANTA HELENA DEL OPÓN,,,,45.00,18.00,21.00,2.00,7.00,14.00,2.00,38.00,48.00,35.00,5.00,3.00,2.00,4.92,10.82,3.86,6.24
68,SANTANDER,68745,SIMACOTA,,300.84,,19.00,33.00,20.00,1.00,7.00,13.00,7.00,5.00,35.00,10.00,1.00,1.00,,,4.68,6.08,4.08
68,SANTANDER,68755,SOCORRO,,42.65,,2.00,,,,,,,,,,,,,,,,
68,SANTANDER,68773,SUCRE,,50.91,3.00,55.00,109.00,173.00,199.00,205.00,204.00,449.00,191.00,95.00,86.00,31.00,26.00,7.00,3.39,,,
68,SANTANDER,68861,VÉLEZ,,62.52,,,7.29,12.18,19.00,18.00,8.00,,29.00,39.00,19.00,2.00,3.00,1.00,2.03,,,
76,VALLE DEL CAUCA,76100,BOLÍVAR,,,,,,0.97,18.00,75.00,2.00,17.00,1.00,15.00,52.00,14.00,23.00,5.00,16.18,31.24,75.42,80.85
76,VALLE DEL CAUCA,76109,BUENAVENTURA,,75.85,186.35,66.00,32.00,44.00,10.00,149.00,400.00,"1,651.00",794.00,558.00,842.00,422.00,338.00,539.00,627.86,680.47,"1,030.16",987.23
76,VALLE DEL CAUCA,76001,CALI,,,,,,,,,,2.00,,,,,,,,,,
76,VALLE DEL CAUCA,76126,CALIMA (El Darién),,,,,5.00,,,57.00,51.00,386.00,134.00,92.00,73.00,46.00,31.00,16.00,24.36,33.55,43.60,44.93
76,VALLE DEL CAUCA,76233,DAGUA,,,,34.00,,,,,,8.00,,,14.00,,6.00,1.00,3.14,3.03,45.82,36.61
76,VALLE DEL CAUCA,76364,JAMUNDÍ,,,,11.00,,,,,,25.00,,,,,,,18.44,3.64,61.56,116.92
76,VALLE DEL CAUCA,76834,TULUÁ,,,,,,,,,,,,,,,,,,,4.75,4.02
97,VAUPÉS,97161,CARURÚ,830.28,827.76,"1,279.80","1,125.00",827.00,638.00,386.00,189.00,157.00,168.00,63.00,60.00,100.00,105.00,125.00,92.00,31.03,96.66,105.46,64.74
97,VAUPÉS,97001,MITÚ,183.72,594.41,380.52,269.00,230.00,389.00,262.00,259.00,125.00,331.00,190.00,424.00,111.00,125.00,54.00,16.00,1.61,,,
97,VAUPÉS,97511,PACOA (Cor. Departamental),,,36.42,20.00,34.95,,1.00,3.00,16.00,27.00,78.00,183.00,60.00,15.00,,,,,,
97,VAUPÉS,97777,PAPUNAUA (Cor. Departamental),,70.51,73.02,58.00,7.89,33.00,21.00,9.00,5.00,26.00,15.00,27.00,1.00,6.00,4.00,1.00,,,,
97,VAUPÉS,97666,TARAIRA,,,,,,,,,,,1.00,14.00,5.00,1.00,,,,,,
97,VAUPÉS,97889,YAVARATÉ (Cor. Departamental),,,1.00,14.00,57.00,23.69,1.00,,4.00,5.00,4.00,13.00,,2.00,1.00,,,,,
99,VICHADA,99773,CUMARIBO,,"4,920.10","7,943.17","4,846.00","3,758.00","4,629.00","7,599.00","5,470.00","7,109.00","3,128.00","3,093.00","2,705.00","2,234.00","1,234.00",710.00,507.00,683.14,699.19,652.72,549.97
99,VICHADA,99524,LA PRIMAVERA,,14.59,122.70,63.00,60.00,63.00,227.00,53.00,108.00,46.00,35.00,38.00,30.00,8.00,3.00,4.00,,,,
99,VICHADA,99624,SANTA ROSALÍA,,,,,,,,,1.00,,12.00,,,,,,,,,