CODDEPTO,DEPARTAMENTO,2002,2003,2004,2005,2006,2007
05,ANTIOQUIA,881.00,395.06,404.13,"2,074.27","3,146.36","6,127.87"
08,ATLÁNTICO,3.00,,,3.42,,
11,"BOGOTÁ, D.C.",,,,3.00,,
13,BOLÍVAR,578.00,59.00,648.00,361.00,"1,951.73",546.83
15,BOYACÁ,1.66,261.72,904.27,"5,588.37","1,903.08",848.00
17,CALDAS,51.00,120.30,453.84,614.97,551.55,439.13
18,CAQUETÁ,109.00,16.00,287.50,585.00,"1,294.94",776.62
19,CAUCA,2.80,44.12,123.00,"1,781.83","4,179.39","1,859.19"
20,CESAR,,5.00,21.20,45.00,15.00,727.95
23,CÓRDOBA,43.20,131.00,467.00,"2,731.50","2,141.54","3,141.39"
25,CUNDINAMARCA,5.00,7.00,367.20,"1,392.20",742.02,291.09
27,CHOCÓ,,91.00,152.20,264.00,602.80,833.86
41,HUILA,,,9.76,21.25,5.00,3.00
44,LA GUAJIRA,2.00,32.00,,"1,680.59",678.49,180.34
47,MAGDALENA,17.00,0.63,132.14,"1,185.20",472.70,572.01
50,META,156.00,15.00,9.00,"2,655.50","5,175.70","3,751.48"
52,NARIÑO,18.40,"1,095.08",388.24,"7,030.02","7,005.04","14,788.10"
54,NORTE DE SANTANDER,201.33,328.00,301.00,"2,335.70","1,647.66","1,451.44"
63,QUINDÍO,,,,5.00,,
66,RISARALDA,,,,17.00,,33.00
68,SANTANDER,17.00,195.00,779.46,"1,890.76","2,629.60","2,538.99"
70,SUCRE,,3.00,,,4.00,
73,TOLIMA,5.00,4.00,25.00,76.20,16.00,25.00
76,VALLE DEL CAUCA,8.00,11.00,45.05,"1,592.80",245.62,207.80
81,ARAUCA,308.00,875.00,141.00,264.00,356.00,659.81
85,CASANARE,,,,,3.00,1.00
86,PUTUMAYO,113.17,72.00,318.28,"1,631.40","5,113.89","24,451.58"
91,AMAZONAS,11.00,10.00,217.26,246.50,15.00,273.96
94,GUAINÍA,11.00,,,,303.38,246.80
95,GUAVIARE,14.00,21.00,10.00,"1,205.00","1,102.82","1,025.30"
97,VAUPÉS,,40.00,,,,
99,VICHADA,206.00,388.00,29.16,241.40,43.50,590.13