CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004
05,ANTIOQUIA,05040,ANORÍ,,,,,181.13,427.80
05,ANTIOQUIA,05055,ARGELIA,,,,,337.80,
05,ANTIOQUIA,05120,CÁCERES,,,,,822.34,941.29
05,ANTIOQUIA,05250,EL BAGRE,,,,107.75,540.04,"1,461.07"
05,ANTIOQUIA,05495,NECHÍ,,,,,,83.23
05,ANTIOQUIA,05591,PUERTO TRIUNFO,,,,,,42.70
05,ANTIOQUIA,05736,SEGOVIA,,,,,,636.48
05,ANTIOQUIA,05756,SONSÓN,,,,,,226.22
05,ANTIOQUIA,05789,TÁMESIS,,,,,117.80,
05,ANTIOQUIA,05790,TARAZÁ,,"4,346.30",,"3,213.12","6,658.67","6,456.26"
05,ANTIOQUIA,05854,VALDIVIA,,"1,912.50",,,,184.47
05,ANTIOQUIA,05893,YONDÓ,,,,,405.27,
05,ANTIOQUIA,05895,ZARAGOZA,,,,,772.25,588.75
13,BOLÍVAR,13160,CANTAGALLO,,,"2,927.70",,589.13,876.70
13,BOLÍVAR,13473,MORALES,,,,,,29.63
13,BOLÍVAR,13670,SAN PABLO,,,"2,269.60",,"1,976.16","1,840.75"
13,BOLÍVAR,13683,SANTA ROSA,,,,,"1,642.80",517.70
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,,,"2,914.50",,46.89,"1,219.29"
13,BOLÍVAR,13744,SIMITÍ,,,"3,469.30",,528.06,"1,972.34"
15,BOYACÁ,15507,OTANCHE,,58.10,,,,
17,CALDAS,17662,SAMANÁ,,,,,,189.62
18,CAQUETÁ,18001,FLORENCIA,,,,,,219.76
18,CAQUETÁ,18029,ALBANIA,476.37,54.60,320.20,,,357.43
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,92.51,,,,,136.85
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,"2,294.13",45.10,649.15,"4,541.59",530.01,"3,361.29"
18,CAQUETÁ,18205,CURILLO,"3,458.52","1,520.40","8,061.42","4,282.29",16.93,231.94
18,CAQUETÁ,18247,EL DONCELLO,154.50,,285.00,,,190.75
18,CAQUETÁ,18256,EL PAUJÍL,72.06,232.90,32.30,,,484.50
18,CAQUETÁ,18410,LA MONTAÑITA,"1,147.15",311.23,,420.03,,"1,201.40"
18,CAQUETÁ,18460,MILÁN,"1,239.02",286.46,514.50,377.35,,601.88
18,CAQUETÁ,18592,PUERTO RICO,,171.10,24.00,,,"3,585.06"
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,183.40,,327.70,92.00,,"1,778.64"
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,,112.20,,865.68,69.05,"1,509.68"
18,CAQUETÁ,18756,SOLANO,"2,710.57","1,604.20","1,017.11","6,196.51",175.91,609.05
18,CAQUETÁ,18785,SOLITA,"1,984.96","3,355.84","2,645.38",990.43,,"1,061.46"
18,CAQUETÁ,18860,VALPARAÍSO,"1,842.80","1,478.01","3,375.39",801.08,267.66,946.19
19,CAUCA,19050,ARGELIA,,800.00,649.80,,115.19,
19,CAUCA,19075,BALBOA,,188.80,91.30,,527.59,677.70
19,CAUCA,19256,EL TAMBO,,"1,481.10",,,104.72,
19,CAUCA,19397,LA VEGA,,,,,64.00,
19,CAUCA,19450,MERCADERES,,,,,391.41,75.30
19,CAUCA,19532,PATÍA,,,,,105.03,
19,CAUCA,19533,PIAMONTE,"2,712.59",480.00,,,,756.54
19,CAUCA,19693,SAN SEBASTIÁN,,,,,,74.56
19,CAUCA,19701,SANTA ROSA,,,,,,227.17
23,CÓRDOBA,23466,MONTELÍBANO,,,,550.60,,
23,CÓRDOBA,23580,PUERTO LIBERTADOR,,,,183.41,549.89,
25,CUNDINAMARCA,25885,YACOPÍ,,44.30,,,,
44,LA GUAJIRA,44090,DIBULLA,,,,,,448.60
47,MAGDALENA,47001,SANTA MARTA,,,,,,"1,631.64"
50,META,50325,MAPIRIPÁN,"1,055.41",163.30,"2,937.50",224.80,"2,298.89","2,011.81"
50,META,50330,MESETAS,,,,,342.20,
50,META,50350,LA MACARENA,,,,,67.07,
50,META,50450,PUERTO CONCORDIA,137.13,,87.00,819.60,"1,986.23","1,417.67"
50,META,50568,PUERTO GAITÁN,,,,,,263.21
50,META,50577,PUERTO LLERAS,285.58,,,165.80,930.61,
50,META,50590,PUERTO RICO,817.74,"1,181.90",227.00,286.20,632.03,134.41
50,META,50711,VISTAHERMOSA,,,,,716.64,
52,NARIÑO,52079,BARBACOAS,,202.00,"1,955.61","3,141.43","7,107.93","3,259.66"
52,NARIÑO,52250,EL CHARCO,,,,,410.03,"1,289.17"
52,NARIÑO,52256,EL ROSARIO,,,,,,28.44
52,NARIÑO,52356,IPIALES,,,,,,160.89
52,NARIÑO,52405,LEIVA,,93.40,,,,
52,NARIÑO,52427,MAGÜÍ,,,,"2,754.34","3,991.07","4,867.10"
52,NARIÑO,52490,OLAYA HERRERA,,,,,497.21,
52,NARIÑO,52520,FRANCISCO PIZARRO,,,,,93.74,
52,NARIÑO,52612,RICAURTE,,,,582.21,,
52,NARIÑO,52621,ROBERTO PAYÁN,,"1,902.30","2,169.96","1,706.99","8,611.84","9,941.47"
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,,"4,243.80","4,089.96","9,776.81","16,198.60","11,760.61"
54,NORTE DE SANTANDER,54250,EL TARRA,,,262.60,,637.85,699.92
54,NORTE DE SANTANDER,54670,SAN CALIXTO,,,,,,115.19
54,NORTE DE SANTANDER,54720,SARDINATA,,,810.80,,519.97,"1,344.22"
54,NORTE DE SANTANDER,54800,TEORAMA,,,,,167.19,47.13
54,NORTE DE SANTANDER,54810,TIBÚ,,"9,584.00","9,234.90","9,186.37","12,496.91","3,479.24"
68,SANTANDER,68092,BETULIA,,,,,,91.32
68,SANTANDER,68101,BOLÍVAR,,,,,,"1,562.14"
68,SANTANDER,68190,CIMITARRA,,,,,5.00,
68,SANTANDER,68271,FLORIÁN,,94.30,,,,
68,SANTANDER,68773,SUCRE,,375.80,,,,201.26
81,ARAUCA,81065,ARAUQUITA,,,,,"9,894.09","3,917.74"
81,ARAUCA,81300,FORTUL,,,,,"1,557.86",867.17
81,ARAUCA,81591,PUERTO RONDÓN,,,,,282.36,
81,ARAUCA,81736,SARAVENA,,,,,,130.34
81,ARAUCA,81794,TAME,,,,,,420.99
86,PUTUMAYO,86001,MOCOA,,,,,,96.58
86,PUTUMAYO,86320,ORITO,,,"6,194.90","33,813.97","1,860.41","2,137.70"
86,PUTUMAYO,86568,PUERTO ASÍS,,183.70,,"13,446.41","1,113.54","3,445.46"
86,PUTUMAYO,86569,PUERTO CAICEDO,34.00,138.20,,"6,729.39",,"1,704.28"
86,PUTUMAYO,86571,PUERTO GUZMÁN,"4,589.39","7,774.17",40.00,"2,192.27",319.20,"4,032.29"
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,117.40,"2,440.70","1,178.80",44.17,,
86,PUTUMAYO,86757,SAN MIGUEL,,,"8,246.91","5,194.90","2,728.03",94.42
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,,"2,721.70","16,845.47","6,106.86","2,224.29","4,925.99"
86,PUTUMAYO,86885,VILLAGARZÓN,239.40,250.40,,"4,362.84",97.39,"1,087.19"
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,"2,423.90","2,654.50","2,129.20","5,216.80","6,442.38","10,840.30"
95,GUAVIARE,95015,CALAMAR,"2,426.76","1,534.50",478.40,735.00,"9,745.34","4,290.61"
95,GUAVIARE,95025,EL RETORNO,"6,128.16","1,504.00","1,247.80","1,254.90","7,609.32","7,321.83"
95,GUAVIARE,95200,MIRAFLORES,"6,396.85","2,548.20","3,621.90",,"13,696.47","8,500.31"
97,VAUPÉS,97161,CARURÚ,,,,,,755.66
99,VICHADA,99773,CUMARIBO,90.90,,"2,819.50",,,"1,445.64"